name,value
ldg_b,IQGAP3
ldg_b,KIAA0101
ldg_b,KIF11
ldg_b,KIF14
ldg_b,KNL1
ldg_b,MIS18BP1
ldg_b,NCAPG
ldg_b,RGCC
ldg_b,RRM2
ldg_b,SKA2
ldg_b,TOP2A
ldg_b,TYMS
ldg_b,AGPS
ldg_b,ANXA4
ldg_b,ATP23
ldg_b,BCL2L15
ldg_b,BEX1
ldg_b,CD24
ldg_b,CTBP2
ldg_b,CTC1
ldg_b,DCBLD2
ldg_b,ECRP
ldg_b,ERG
ldg_b,FBXO9
ldg_b,GALNT10
ldg_b,GCLM
ldg_b,GLOD5
ldg_b,GVINP1
ldg_b,HMGB2
ldg_b,HMGN2
ldg_b,KBTBD6
ldg_b,LINC00323
ldg_b,LMO4
ldg_b,MED7
ldg_b,NFYC
ldg_b,NUCB2
ldg_b,PCOLCE2
ldg_b,PDLIM5
ldg_b,PLEKHA3
ldg_b,PPFIA4
ldg_b,RPE
ldg_b,SCD
ldg_b,SENP1
ldg_b,SLC28A3
ldg_b,SMIM8
ldg_b,TACSTD2
ldg_b,TCTEX1D1
ldg_b,THBS4
ldg_b,TMEM234
ldg_b,TMEM50B
ldg_b,TMLHE
ldg_b,TRMT5
ldg_b,ZNF788
ldg_1.1,AZU1
ldg_1.1,BPI
ldg_1.1,CAMP
ldg_1.1,CD177
ldg_1.1,CEACAM1
ldg_1.1,CEACAM6
ldg_1.1,CEACAM8
ldg_1.1,CRISP3
ldg_1.1,CTSG
ldg_1.1,DEF3A
ldg_1.1,DEFA1
ldg_1.1,DEFA1B
ldg_1.1,DEFA3
ldg_1.1,DEFA4
ldg_1.1,ELANE
ldg_1.1,ITGA2B
ldg_1.1,LCN2
ldg_1.1,LTF
ldg_1.1,MMP8
ldg_1.1,MPO
ldg_1.1,MS4A3
ldg_1.1,MYL9
ldg_1.1,PRTN3
ldg_1.1,RNASE2
ldg_1.1,RNASE3
ldg_1.1,S100A12
ldg_1.1,S100A9
ldg_2.1,CD177
ldg_2.1,CEACAM1
ldg_2.1,CRISP3
ldg_2.1,DEF3A
ldg_2.1,DEFA1
ldg_2.1,DEFA1B
ldg_2.1,DEFA3
ldg_2.1,ITGA2B
ldg_2.1,LCN2
ldg_2.1,MYL9
ldg_2.1,PRTN3
ldg_2.1,RNASE2
ldg_2.1,RNASE3
ldg_2.1,S100A12
ldg_2.1,S100A9
